type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:1AD2B86F;obo:NCIT_C17998;"""UNKNOWN_SEX""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:2C69B880;obo:NCIT_C17998;"""UNKNOWN_SEX""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en";;;
standard;hrim:56A0DF52;obo:NCIT_C17998;"""UNKNOWN_SEX""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicSex;"""Phenotypic Sex""@en";;;
standard;hrim:4382f22d;onz-g:Animal;"""Dier""@nl";hriv:hasExactMeaning;;hrio:Animal;"""Animal""@en";;;
standard;hrim:25F96BF9;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:PhenotypicSex;"""Phenotypic Sex""@en";hrim:57f0e74d;;
standard;hrim:48D726DF;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en";hrim:57f0e74d;;
standard;hrim:514C537A;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en";hrim:57f0e74d;;
standard;hrim:57096F68;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en";hrim:57f0e74d;;
standard;hrim:57f0e74d;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;;hrio:Sex;"""Sex""@en";;;
standard;hrim:638AF1C1;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:PhenotypicSex;"""Phenotypic Sex""@en";hrim:57f0e74d;;
standard;hrim:CB7E9E60;onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en";hrim:57f0e74d;;
standard;hrim:276A1799;onz-g:FemaleSex;"""Vrouwelijk geslacht""@nl";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en";;;
standard;hrim:C0EF8398;onz-g:FemaleSex;"""Vrouwelijk geslacht""@nl";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en";;;
